id,source_id,metric_type,value,unit,year,sector,region,technology,context,confidence,page_number,created_at,updated_at
1,1,productivity_metric,26.08,percentage,2024,,,,"experiments and 4,867 de- velopers, our analysis reveals a 26.08% increase (se: 10.3%) in completed tasks among developers us",0.7,,2025-07-20 00:07:18.512087,2025-07-20 00:07:18.512089
2,1,productivity_metric,10.3,percentage,2024,,,,"7 de- velopers, our analysis reveals a 26.08% increase (se: 10.3%) in completed tasks among developers using the ai tool. not",0.7,,2025-07-20 00:07:18.512091,2025-07-20 00:07:18.512092
3,1,employment_metric,80.0,percentage,2024,,,,"that generative ai can per- form tasks associated with over 80% of u.s. jobs, with particularly high task coverage in occup",0.7,,2025-07-20 00:07:18.512093,2025-07-20 00:07:18.512094
4,1,productivity_metric,13.55,percentage,2024,,,,"y interest, our results support this interpretation, with a 13.55% (se: 10.0%) increase in the number of code updates (commits",0.7,,2025-07-20 00:07:18.512094,2025-07-20 00:07:18.512095
5,1,productivity_metric,38.38,percentage,2024,,,,.0%) increase in the number of code updates (commits) and a 38.38% (se: 12.55%) increase in the number of times code was compi,0.7,,2025-07-20 00:07:18.512096,2025-07-20 00:07:18.512097
6,1,growth_metric,12.0,percentage,2024,,,,ic the day-to-day work at a consulting company increased by 12%–25%. evidence from these experiments generally suggests sig,0.7,,2025-07-20 00:07:18.512097,2025-07-20 00:07:18.512098
7,1,productivity_metric,50.4,percentage,2024,,,GitHub Copilot,"rimarily located in the united states. of these developers, 50.4% were randomly selected to receive access to github copilot.",0.7,,2025-07-20 00:07:18.512099,2025-07-20 00:07:18.512099
8,1,productivity_metric,61.3,percentage,2024,,,,"t asia. randomization occurred at the developer level, with 61.3% of the 320 developers assigned to the treatment group. trea",0.7,,2025-07-20 00:07:18.512100,2025-07-20 00:07:18.512101
9,1,general_rate,5.0,percentage,2024,,,,"ignment; anonymous company: team-level assignment.) *10%, **5%, ***1% 0 10 20 30 40 percent(%) 0 2 4 6 (a) microsoft (37.0",0.7,,2025-07-20 00:07:18.512102,2025-07-20 00:07:18.512102
10,1,general_rate,1.0,percentage,2024,,,,"; anonymous company: team-level assignment.) *10%, **5%, ***1% 0 10 20 30 40 percent(%) 0 2 4 6 (a) microsoft (37.09% > 0)",0.7,,2025-07-20 00:07:18.512103,2025-07-20 00:07:18.512104
11,1,productivity_metric,34.01,percentage,2024,,,,.90% > 0) 0 10 20 30 40 percent(%) 0 1 2 3 4 (c) anonymous (34.01% > 0) figure 1: distribution of pull requests (conditional o,0.7,,2025-07-20 00:07:18.512104,2025-07-20 00:07:18.512105
12,1,productivity_metric,8.5,percentage,2024,,,GitHub Copilot,"uring the first two weeks of the microsoft experiment, only 8.5 % of the treated group signed up for github copilot. this low",0.7,,2025-07-20 00:07:18.512106,2025-07-20 00:07:18.512107
13,1,growth_metric,42.5,percentage,2023,,,,"2023. these additional emails increased the take-up rate to 42.5% within two weeks. as discussed before, the initial complian",0.7,,2025-07-20 00:07:18.512107,2025-07-20 00:07:18.512108
14,1,productivity_metric,0.5,percentage,2024,,,GitHub Copilot,p was not perfect because a few control group de- velopers (0.5%) required access to copilot to work on related products. at,0.7,,2025-07-20 00:07:18.512109,2025-07-20 00:07:18.512109
15,1,adoption_metric,69.4,percentage,2024,,,,"group. by april 2024, the treated group’s adoption rate was 69.4%, while the control group’s adoption rate was 24.4%. panel (",0.7,,2025-07-20 00:07:18.512110,2025-07-20 00:07:18.512111
16,1,adoption_metric,100.0,percentage,2024,,,,"nts. despite this, the adoption rate is significantly below 100% in all three experiments, with around 30-40% of the develop",0.7,,2025-07-20 00:07:18.512111,2025-07-20 00:07:18.512112
17,1,productivity_metric,21.34,percentage,2024,,,,"the number of pull requests made by developers increases by 21.34% (se: 9.92%), the number of commits increases by 15.39% (se:",0.7,,2025-07-20 00:07:18.512113,2025-07-20 00:07:18.512114
18,1,productivity_metric,15.39,percentage,2024,,,,"s by 21.34% (se: 9.92%), the number of commits increases by 15.39% (se: 9.69%), and the number of builds increases by 37.03% (",0.7,,2025-07-20 00:07:18.512114,2025-07-20 00:07:18.512116
19,1,productivity_metric,4.3,percentage,2024,,,GitHub Copilot,e 5 reveals that higher-tenure developers are approximately 4.3% (or 1.0pp) less likely to accept copilot’s code suggestions,0.7,,2025-07-20 00:07:18.512117,2025-07-20 00:07:18.512118
20,1,general_rate,1.8,percentage,2024,,,,"ers, this difference in acceptance rates is much smaller at 1.8% (or 0.5pp), though it goes in the same direction as senior",0.7,,2025-07-20 00:07:18.512118,2025-07-20 00:07:18.512119
21,1,productivity_metric,7.0,percentage,2024,,,,to 40% while senior developers have more marginal gains of 7% to 16%. the estimates for above- and below-median productiv,0.7,,2025-07-20 00:07:18.512120,2025-07-20 00:07:18.512121
22,1,productivity_metric,150.0,percentage,2024,,,,59 24 28 -5 39 19 19 -6 57 18 9 8 2 -2 -5 -0 -50 0 50 100 150 % increase in outcome pull requests commits builds build succ,0.7,,2025-07-20 00:07:18.512121,2025-07-20 00:07:18.512122
24,1,reference_year,2025.0,number,2025,,,,"sonia jaffe, leon musolff, sida peng, and tobias salz june 2025 abstract this study evaluates the effect of generative ai o",0.7,,2025-07-20 00:07:18.512124,2025-07-20 00:07:18.512125
1146,1,productivity_metric,26.08,percentage,2024,,,,"experiments and 4,867 de- velopers, our analysis reveals a 26.08% increase (se: 10.3%) in completed tasks among developers us",0.7,,2025-07-20 00:07:18.718041,2025-07-20 00:07:18.718044
