original_id,value,unit,year,metric_type,context_preview,reason,kept_record_id,confidence
4253,44.0,percentage,2025,percentages,ing and product innovation. ai-assisted scientists discover 44% more materials. these compounds poss...,Duplicate record (keeping first occurrence),4248,0.9
4254,39.0,percentage,2025,growth_rate,"also improves quality. this influx of materials leads to a 39% increase in patent filings and, sever...",Duplicate record (keeping first occurrence),4249,0.9
4255,17.0,percentage,2025,growth_rate,"39% increase in patent filings and, several months later, a 17% rise in product prototypes incorpora...",Duplicate record (keeping first occurrence),4250,0.9
4262,44.0,percentage,2025,percentages,these questions using the survey. researchers experience a 44% reduction in satisfaction with the co...,Duplicate record (keeping first occurrence),4248,0.9
4263,82.0,percentage,2025,percentages,"is negative effect, especially for high-ability scientists, 82% of researchers see an overall declin...",Duplicate record (keeping first occurrence),4252,0.9
4267,80.0,percentage,2025,percentages,"s on filings rather than approvals. historically, more than 80% of the lab’s applications have been ...",Duplicate record (keeping first occurrence),4265,0.9
4269,44.0,percentage,2025,percentages,’s plans regarding future ai use. i received 447 responses (44%). this response rate is relatively h...,Duplicate record (keeping first occurrence),4248,0.9
4273,44.0,percentage,2025,growth_rate,"of the sample. on average, ai-assisted scientists discover 44% more materials, leading to a 39% incr...",Duplicate record (keeping first occurrence),4248,0.9
4274,39.0,percentage,2025,growth_rate,"sisted scientists discover 44% more materials, leading to a 39% increase in patent filings and a 17%...",Duplicate record (keeping first occurrence),4249,0.9
4275,17.0,percentage,2025,growth_rate,"aterials, leading to a 39% increase in patent filings and a 17% rise in product prototypes. to inves...",Duplicate record (keeping first occurrence),4250,0.9
4280,95.0,percentage,2025,percentages,cifications include team and month fixed effects and report 95% confidence intervals based on standa...,Duplicate record (keeping first occurrence),4276,0.9
4285,10.0,percentage,2025,percentages,erall quality index average share top 10% average share top 10% average share top 10% (1) (2) (3) (4...,Duplicate record (keeping first occurrence),4284,0.9
4286,10.0,percentage,2025,percentages,erage share top 10% average share top 10% average share top 10% (1) (2) (3) (4) (5) (6) access to ai...,Duplicate record (keeping first occurrence),4284,0.9
4287,10.0,percentage,2025,percentages,t the average effect and the impact on the share in the top 10% of the distribution. columns (1) and...,Duplicate record (keeping first occurrence),4284,0.9
4288,10.0,percentage,2025,percentages,"the team level. *, **, and *** indicate significance at the 10%, 5%, and 1% levels. 4.3 novelty whil...",Duplicate record (keeping first occurrence),4284,0.9
4294,13.0,percentage,2025,percentages,"s primarily on improvements to existing products, with only 13% of prototypes representing new lines...",Duplicate record (keeping first occurrence),4282,0.9
4295,22.0,percentage,2025,percentages,share rises by 3 percentage points in the treatment group (22%). this suggests that the firm has a p...,Duplicate record (keeping first occurrence),4293,0.9
