original_id,value,unit,year,metric_type,context_preview,reason,confidence,proposed_action,kept_record_id
944,40.0,percentage,2024,general_rate,"partner to advance germany’s sovereign ai turn rtx on with 40% off performance day passes 6/20/25, 1...",Reclassify: general_rate → productivity_metric,0.8,MODIFY,
945,2025.0,number,2025,unknown_metric,"e, enabling prediction, generation and reasoning. march 17, 2025 by dave salvator 6/20/25, 1:55 pm e...",Passed all validation checks,0.85,KEEP,
946,20.0,multiple,2024,cost_metric,"in one case,
integrating software optimizations and adopting the latest generation nvidia gpus redu...",Unexpected unit 'multiple' for cost_metric,0.85,REMOVE,
947,25.0,multiple,2024,cost_metric,"in one case,
integrating software optimizations and adopting the latest generation nvidia gpus redu...",Unexpected unit 'multiple' for cost_metric,0.85,REMOVE,
948,20.0,multiple,2024,revenue_metric,"in one case,
integrating software optimizations and adopting the latest generation nvidia gpus redu...",Duplicate record (keeping first occurrence),0.9,REMOVE,946.0
949,25.0,multiple,2024,revenue_metric,"in one case,
integrating software optimizations and adopting the latest generation nvidia gpus redu...",Duplicate record (keeping first occurrence),0.9,REMOVE,947.0
950,6.0,billions_usd,2024,tokens_metric,"u share
f
h
d
reading time: 6 mins
under the hood of every ai application are algorithms that c...",Passed all validation checks,0.85,KEEP,
951,25.0,number,2024,comparison_metrics,nan,Passed all validation checks,0.85,KEEP,
952,100.0,number,2024,comparison_metrics,nan,Passed all validation checks,0.85,KEEP,
5926,40.0,percentage,2024,general_rate,"partner to advance germany’s sovereign ai turn rtx on with 40% off performance day passes 6/20/25, 1...",Duplicate record (keeping first occurrence),0.9,REMOVE,944.0
5927,2025.0,number,2025,unknown_metric,"e, enabling prediction, generation and reasoning. march 17, 2025 by dave salvator 6/20/25, 1:55 pm e...",Duplicate record (keeping first occurrence),0.9,REMOVE,945.0
5928,20.0,multiple,2024,cost_metric,"in one case,
integrating software optimizations and adopting the latest generation nvidia gpus redu...",Duplicate record (keeping first occurrence),0.9,REMOVE,946.0
5929,25.0,multiple,2024,cost_metric,"in one case,
integrating software optimizations and adopting the latest generation nvidia gpus redu...",Duplicate record (keeping first occurrence),0.9,REMOVE,947.0
5930,20.0,multiple,2024,revenue_metric,"in one case,
integrating software optimizations and adopting the latest generation nvidia gpus redu...",Duplicate record (keeping first occurrence),0.9,REMOVE,946.0
5931,25.0,multiple,2024,revenue_metric,"in one case,
integrating software optimizations and adopting the latest generation nvidia gpus redu...",Duplicate record (keeping first occurrence),0.9,REMOVE,947.0
5932,6.0,billions_usd,2024,tokens_metric,"u share
f
h
d
reading time: 6 mins
under the hood of every ai application are algorithms that c...",Duplicate record (keeping first occurrence),0.9,REMOVE,950.0
5933,25.0,number,2024,comparison_metrics,nan,Duplicate record (keeping first occurrence),0.9,REMOVE,951.0
5934,100.0,number,2024,comparison_metrics,nan,Duplicate record (keeping first occurrence),0.9,REMOVE,952.0
5935,40.0,percentage,2025,percentages,"partner to advance germany’s sovereign ai turn rtx on with 40% off performance day passes 6/20/25, 1...",Passed all validation checks,0.85,KEEP,
7073,40.0,percentage,2024,general_rate,"partner to advance germany’s sovereign ai turn rtx on with 40% off performance day passes 6/20/25, 1...",Duplicate record (keeping first occurrence),0.9,REMOVE,944.0
7074,2025.0,number,2025,unknown_metric,"e, enabling prediction, generation and reasoning. march 17, 2025 by dave salvator 6/20/25, 1:55 pm e...",Duplicate record (keeping first occurrence),0.9,REMOVE,945.0
