original_id,value,unit,year,metric_type,context_preview,reason,kept_record_id,confidence
874,0.0,percentage,2024,general_rate,osed to automation by ai 0% 80% 70% 60% 50% 40% 30% 20% 10% 0% 80% 60% 40% 20% source: goldman sachs...,Duplicate record (keeping first occurrence),867,0.9
879,7.0,percentage,2023,gdp_metric,"artificial intelligence
generative ai could raise global gdp by 7%
apr 5, 2023
share share
downl...",Duplicate record (keeping first occurrence),864,0.9
882,2.0,percentage,2024,productivity_metric,"ai's impact on labor productivity depends on its
capability and adoption timeline
effect of ai ado...",Duplicate record (keeping first occurrence),880,0.9
884,2.0,percentage,2024,labor_metric,"ai's impact on labor productivity depends on its
capability and adoption timeline
effect of ai ado...",Duplicate record (keeping first occurrence),880,0.9
885,7.0,percentage,2024,labor_metric,"ai's impact on labor productivity depends on its
capability and adoption timeline
effect of ai ado...",Duplicate record (keeping first occurrence),881,0.9
886,85.0,percentage,2024,labor_metric,"this implies that more than 85% of employment growth over the last 80 years is
explained by the tec...",Duplicate record (keeping first occurrence),866,0.9
887,2.0,percentage,2024,energy_metric,"ai's impact on labor productivity depends on its
capability and adoption timeline
effect of ai ado...",Duplicate record (keeping first occurrence),880,0.9
888,7.0,percentage,2024,energy_metric,"ai's impact on labor productivity depends on its
capability and adoption timeline
effect of ai ado...",Duplicate record (keeping first occurrence),881,0.9
5441,7.0,percentage,2023,general_rate,"ficial intelligence generative ai could raise global gdp by 7% apr 5, 2023 share share download tran...",Duplicate record (keeping first occurrence),864,0.9
5442,60.0,percentage,2024,general_rate,udy by economist david autor cited in the report found that 60% of today’s workers are employed in o...,Duplicate record (keeping first occurrence),865,0.9
5443,85.0,percentage,2024,general_rate,ions that didn’t exist in 1940. this implies that more than 85% of employment growth over the last 8...,Duplicate record (keeping first occurrence),866,0.9
5444,0.0,percentage,2024,general_rate,share of occupational workload exposed to automation by ai 0% 80% 70% 60% 50% 40% 30% 20% 10% 0% 80%...,Duplicate record (keeping first occurrence),867,0.9
5445,70.0,percentage,2024,general_rate,of occupational workload exposed to automation by ai 0% 80% 70% 60% 50% 40% 30% 20% 10% 0% 80% 60% 4...,Duplicate record (keeping first occurrence),868,0.9
5446,50.0,percentage,2024,general_rate,ational workload exposed to automation by ai 0% 80% 70% 60% 50% 40% 30% 20% 10% 0% 80% 60% 40% 20% s...,Duplicate record (keeping first occurrence),869,0.9
5447,40.0,percentage,2024,general_rate,nal workload exposed to automation by ai 0% 80% 70% 60% 50% 40% 30% 20% 10% 0% 80% 60% 40% 20% sourc...,Duplicate record (keeping first occurrence),870,0.9
5448,30.0,percentage,2024,general_rate,workload exposed to automation by ai 0% 80% 70% 60% 50% 40% 30% 20% 10% 0% 80% 60% 40% 20% source: g...,Duplicate record (keeping first occurrence),871,0.9
5449,20.0,percentage,2024,general_rate,load exposed to automation by ai 0% 80% 70% 60% 50% 40% 30% 20% 10% 0% 80% 60% 40% 20% source: goldm...,Duplicate record (keeping first occurrence),872,0.9
5450,10.0,percentage,2024,general_rate,exposed to automation by ai 0% 80% 70% 60% 50% 40% 30% 20% 10% 0% 80% 60% 40% 20% source: goldman sa...,Duplicate record (keeping first occurrence),873,0.9
5451,0.0,percentage,2024,general_rate,osed to automation by ai 0% 80% 70% 60% 50% 40% 30% 20% 10% 0% 80% 60% 40% 20% source: goldman sachs...,Duplicate record (keeping first occurrence),867,0.9
5452,7.0,billions_usd,2024,financial_metric,"to businesses and society, they could drive a 7% (or almost $7 trillion) increase in global gdp and ...",Duplicate record (keeping first occurrence),875,0.9
