original_id,value,unit,year,metric_type,context_preview,reason,confidence
895,25.0,percentage,2024,general_rate,"ions greater than 250,000 in each pillar. those in the top 25% on a pillar earn a “t” (for “top”) fo...",Passed all validation checks,0.85
897,4.0,percentage,2025,general_rate,ai in the production of goods or services rose from around 4% in early 2023 to 8.7% by mid-2025. exp...,Passed all validation checks,0.85
898,8.7,percentage,2025,general_rate,of goods or services rose from around 4% in early 2023 to 8.7% by mid-2025. expectations for near-te...,Passed all validation checks,0.85
900,1.0,percentage,2024,general_rate,"2024, surging their share of all tech startups from around 1% to 28% (see figure 4). 15 figure 4.",Passed all validation checks,0.85
904,20.1,percentage,2024,general_rate,"ely to use ai in the production of goods and services, with 20.1% reporting active use. this is foll...",Passed all validation checks,0.85
905,15.9,percentage,2024,general_rate,"ific, and technical services sector (18.2%) and utilities (15.9%). in contrast, sectors such as tran...",Passed all validation checks,0.85
908,110.0,percentage,2025,general_rate,"ril 2018 to 13,000 in april 2025); and san jose rising by 110% (from 5,800 to 12,200). these metro a...",Passed all validation checks,0.85
910,250.0,percentage,2025,general_rate,iami and gainesville in florida saw even higher gains—over 250%—from 2018 to 2025. many metro areas ...,Passed all validation checks,0.85
911,56.0,percentage,2024,general_rate,"cluster generates 51% of the nation’s filed ai patents and 56% of its ai publications, with universi...",Passed all validation checks,0.85
915,7.5,percentage,2024,general_rate,"nearly 3.5% of ai patent filings, while driving more than 7.5% of hpc usage—a footprint that sits ju...",Passed all validation checks,0.85
917,800.0,percentage,2025,general_rate,"nd savannah, ga., have seen ai job postings grow more than 800% between april 2018 and 2025, highlig...",Passed all validation checks,0.85
920,0.16,percentage,2024,general_rate,"scanter: overall, metro areas in the others group generate 0.16% of patents and claim just 0.3% of c...",Passed all validation checks,0.85
921,0.3,percentage,2024,general_rate,n the others group generate 0.16% of patents and claim just 0.3% of competitive ai contracts and 1.1...,Passed all validation checks,0.85
922,10.0,billions_usd,2024,financial_metric,ies in the two metro areas. the largest deal of 2024—worth $10 billion—was raised by the san francis...,Passed all validation checks,0.85
923,109.1,billions_usd,2024,financial_metric,"uced 15. as to private investment, u.s. companies invested $109.1 billion in ai research in 2024, va...",Passed all validation checks,0.85
924,3.21,billions_usd,2024,financial_metric,overnment investment in ai research actually decreased from $3.21 billion in 2023 to 37 $2.98 billio...,Passed all validation checks,0.85
925,32.0,billions_usd,2026,financial_metric,doubling non-defense ai r&d investments annually to reach $32 billion by 2026.16 the nation’s curren...,Passed all validation checks,0.85
926,40.0,billions_usd,2024,financial_metric,"er, the founding partners have pledged to invest more than $40 million to support the hub's success:...",Passed all validation checks,0.85
927,25.0,billions_usd,2024,financial_metric,ore than $40 million to support the hub's success: njeda's $25 million commitment anchors state supp...,Passed all validation checks,0.85
928,7.5,billions_usd,2024,financial_metric,"illion commitment anchors state support, while microsoft's $7.5 million investment leverages its tec...",Passed all validation checks,0.85
929,5.0,billions_usd,2024,financial_metric,"n seattle, microsoft’s ai for good open call has set aside $5 million in azure credits, paired with ...",Passed all validation checks,0.85
930,275.0,billions_usd,2024,financial_metric,"hy hochul launched empire ai as part of a historic 10-year, $275 million commitment (combined with a...",Passed all validation checks,0.85
931,125.0,billions_usd,2024,financial_metric,"year, $275 million commitment (combined with an additional $125 million in private investment) to es...",Passed all validation checks,0.85
932,90.0,billions_usd,2026,financial_metric,m: the new fy 2026 budget proposal announced an additional $90 million investment. empire ai has alr...,Passed all validation checks,0.85
933,1.5,billions_usd,2024,financial_metric,"h north dakota state university, it was established with a $1.5 million grant from microsoft’s techs...",Passed all validation checks,0.85
934,160.0,billions_usd,2024,financial_metric,regional innovation engines award that could provide up to $160 million over 10 years to accelerate ...,Passed all validation checks,0.85
935,13.0,billions_usd,2027,financial_metric,"china’s genai sector investment surges, projected to reach $13 billion by 2027,” march 28, 2024. 65 ...",Passed all validation checks,0.85
936,1.0,billions_usd,2025,financial_metric,"community foundation. (2025, april 4). google.org announces $1m to austin community foundation to pr...",Passed all validation checks,0.85
937,19.0,number,2024,employment_metric,"falls to just 6.5% for businesses employing between 10 and 19 workers. interestingly, the smallest f...",Passed all validation checks,0.85
939,2025.0,number,2025,unknown_metric,t technological leap? mark muro and shriya methkupally july 2025 table of contents executive summary...,Passed all validation checks,0.85
942,8.7,percentage,2024,adoption_metrics,"s also show that the overall adoption rate remains relatively modest across the economy, with only 8...",Passed all validation checks,0.85
5796,2.5,percentage,2025,employment,"w at an annual rate of 28.5%, yet still comprise only about 2.5% of all u.s. job openings. • extreme...",Passed all validation checks,0.85
5797,13.0,percentage,2025,employment,nings. • extreme concentration. the bay area accounts for 13% of national job postings featuring ai ...,Passed all validation checks,0.85
5798,67.0,percentage,2025,employment,"hubs, this group of 30 top- performing metro areas captures 67% of total ai job postings. • signs of...",Passed all validation checks,0.85
5799,25.0,percentage,2025,percentages,"ions greater than 250,000 in each pillar. those in the top 25% on a pillar earn a “t” (for “top”) fo...",Passed all validation checks,0.85
5800,50.0,percentage,2025,percentages,arn a “t” (for “top”) for that pillar. those in the middle 50% garner an “m” (for “middle” performan...,Passed all validation checks,0.85
5802,4.0,percentage,2023,percentages,ai in the production of goods or services rose from around 4% in early 2023 to 8.7% by mid-2025. exp...,Passed all validation checks,0.85
5803,8.7,percentage,2023,percentages,of goods or services rose from around 4% in early 2023 to 8.7% by mid-2025. expectations for near-te...,Passed all validation checks,0.85
5804,11.0,percentage,2025,percentages,"for near-term ai use are higher: as of the latest survey, 11% of firms reported that they plan to ad...",Passed all validation checks,0.85
5805,28.5,percentage,2010,employment,from tech giants (see figure 2). that increase amounted to 28.5% average annualized growth for ai jo...,Passed all validation checks,0.85
5806,11.1,percentage,2010,growth_rate,"stings over the 2010-to-2025 period, which outstripped the 11.1% average annualized growth of postin...",Passed all validation checks,0.85
5807,13.3,percentage,2025,growth_rate,nualized growth of postings in the general economy and the 13.3% annualized growth of those in the i...,Passed all validation checks,0.85
5809,28.0,percentage,2025,percentages,surging their share of all tech startups from around 1% to 28% (see figure 4). 15 figure 4. in shor,Passed all validation checks,0.85
5810,2.2,percentage,2025,employment,"e 287,000 job postings with ai skills accounted for merely 2.2% of all u.s. job postings (see figure...",Passed all validation checks,0.85
5811,5.0,percentage,2025,percentages,"al business survey (abs), for example, show that only about 5% of u.s. firms were using at least a l...",Passed all validation checks,0.85
5812,1.0,percentage,2021,percentages,t least a little ai in their operations in 2021.12 and only 1% of firms reported investing in ai pro...,Passed all validation checks,0.85
5814,14.2,percentage,2025,adoption_rate,"ai use in producing goods and services, with a use rate of 14.2% according to 2025 btos data. this f...",Passed all validation checks,0.85
5815,6.5,percentage,2025,employment,"ption rates among smaller firms, where usage falls to just 6.5% for businesses employing between 10 ...",Passed all validation checks,0.85
