original_id,value,unit,year,metric_type,context_preview,reason,kept_record_id,confidence
278,0.0,percentage,2024,general_rate,6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3%) 8 (26.7%) 0 (0.0%) manufacturing 1 (3.3%) 0 (0.0%) 1 (3.3%) 1,Duplicate record (keeping first occurrence),264.0,0.9
279,0.0,percentage,2024,general_rate,8 (26.7%) 0 (0.0%) manufacturing 1 (3.3%) 0 (0.0%) 1 (3.3%) 1 (3.3%) 0 (0.0%) 7 (23.3%) 8 (26.7%,Duplicate record (keeping first occurrence),264.0,0.9
280,0.0,percentage,2024,general_rate,uring 1 (3.3%) 0 (0.0%) 1 (3.3%) 1 (3.3%) 0 (0.0%) 7 (23.3%) 8 (26.7%) 12 (40.0%) 0 (0.0%) 250+,Duplicate record (keeping first occurrence),264.0,0.9
283,0.0,percentage,2024,general_rate,3.3%) 2 (6.7%) 4 (13.3%) 13 (43.3%) 6 (20.0%) 0 (0.0%) manufacturing 4 (13.3%) 1 (3.3%) 2 (6.7%) 4,Duplicate record (keeping first occurrence),264.0,0.9
289,0.0,percentage,2024,general_rate,0.0%) 1 (3.3%) 7 (23.3%) 15 (50.0%) 7 (23.3%) 0 (0.0%) manufacturing 2 (6.7%) 0 (0.0%) 2 (6.7%) 0,Duplicate record (keeping first occurrence),264.0,0.9
290,0.0,percentage,2024,general_rate,7 (23.3%) 0 (0.0%) manufacturing 2 (6.7%) 0 (0.0%) 2 (6.7%) 0 (0.0%) 1 (3.3%) 12 (40.0%) 9 (30.0,Duplicate record (keeping first occurrence),264.0,0.9
291,0.0,percentage,2024,general_rate,manufacturing 2 (6.7%) 0 (0.0%) 2 (6.7%) 0 (0.0%) 1 (3.3%) 12 (40.0%) 9 (30.0%) 3 (10.0%) 1 (3.3%,Duplicate record (keeping first occurrence),264.0,0.9
296,0.0,percentage,2024,general_rate,(3.3%) 9 (30.0%) 7 (23.3%) 7 (23.3%) 5 (16.7%) 0 (0.0%) manufacturing 1 (3.3%) 0 (0.0%) 0 (0.0%) 0,Duplicate record (keeping first occurrence),264.0,0.9
297,0.0,percentage,2024,general_rate,5 (16.7%) 0 (0.0%) manufacturing 1 (3.3%) 0 (0.0%) 0 (0.0%) 0 (0.0%) 1 (3.3%) 8 (26.7%) 8 (26.7%,Duplicate record (keeping first occurrence),264.0,0.9
298,0.0,percentage,2024,general_rate,0 (0.0%) manufacturing 1 (3.3%) 0 (0.0%) 0 (0.0%) 0 (0.0%) 1 (3.3%) 8 (26.7%) 8 (26.7%) 12 (40.0,Duplicate record (keeping first occurrence),264.0,0.9
