original_id,value,unit,year,metric_type,context_preview,reason,confidence,proposed_action,kept_record_id
864,7.0,percentage,2023,general_rate,"ficial intelligence generative ai could raise global gdp by 7% apr 5, 2023 share share download tran...",Passed all validation checks,0.85,KEEP,
865,60.0,percentage,2024,general_rate,udy by economist david autor cited in the report found that 60% of today’s workers are employed in o...,Reclassify: general_rate → employment_metric,0.8,MODIFY,
866,85.0,percentage,2024,general_rate,ions that didn’t exist in 1940. this implies that more than 85% of employment growth over the last 8...,Reclassify: general_rate → employment_metric,0.8,MODIFY,
867,0.0,percentage,2024,general_rate,share of occupational workload exposed to automation by ai 0% 80% 70% 60% 50% 40% 30% 20% 10% 0% 80%...,Passed all validation checks,0.85,KEEP,
868,70.0,percentage,2024,general_rate,of occupational workload exposed to automation by ai 0% 80% 70% 60% 50% 40% 30% 20% 10% 0% 80% 60% 4...,Passed all validation checks,0.85,KEEP,
869,50.0,percentage,2024,general_rate,ational workload exposed to automation by ai 0% 80% 70% 60% 50% 40% 30% 20% 10% 0% 80% 60% 40% 20% s...,Passed all validation checks,0.85,KEEP,
870,40.0,percentage,2024,general_rate,nal workload exposed to automation by ai 0% 80% 70% 60% 50% 40% 30% 20% 10% 0% 80% 60% 40% 20% sourc...,Passed all validation checks,0.85,KEEP,
871,30.0,percentage,2024,general_rate,workload exposed to automation by ai 0% 80% 70% 60% 50% 40% 30% 20% 10% 0% 80% 60% 40% 20% source: g...,Passed all validation checks,0.85,KEEP,
872,20.0,percentage,2024,general_rate,load exposed to automation by ai 0% 80% 70% 60% 50% 40% 30% 20% 10% 0% 80% 60% 40% 20% source: goldm...,Passed all validation checks,0.85,KEEP,
873,10.0,percentage,2024,general_rate,exposed to automation by ai 0% 80% 70% 60% 50% 40% 30% 20% 10% 0% 80% 60% 40% 20% source: goldman sa...,Passed all validation checks,0.85,KEEP,
874,0.0,percentage,2024,general_rate,osed to automation by ai 0% 80% 70% 60% 50% 40% 30% 20% 10% 0% 80% 60% 40% 20% source: goldman sachs...,Duplicate record (keeping first occurrence),0.9,REMOVE,867.0
875,7.0,billions_usd,2024,financial_metric,"to businesses and society, they could drive a 7% (or almost $7 trillion) increase in global gdp and ...",Passed all validation checks,0.85,KEEP,
876,150.0,billions_usd,2024,financial_metric,"e total addressable market for generative ai software to be $150 billion, compared with $685 billion...",Passed all validation checks,0.85,KEEP,
877,685.0,billions_usd,2024,financial_metric,"or generative ai software to be $150 billion, compared with $685 billion for the global software ind...",Passed all validation checks,0.85,KEEP,
878,2023.0,number,2023,unknown_metric,"elligence generative ai could raise global gdp by 7% apr 5, 2023 share share download transcript dow...",Passed all validation checks,0.85,KEEP,
879,7.0,percentage,2023,gdp_metric,"artificial intelligence
generative ai could raise global gdp by 7%
apr 5, 2023
share share
downl...",Duplicate record (keeping first occurrence),0.9,REMOVE,864.0
880,2.0,percentage,2024,gdp_metric,"ai's impact on labor productivity depends on its
capability and adoption timeline
effect of ai ado...",Passed all validation checks,0.85,KEEP,
881,7.0,percentage,2024,productivity_metric,"as tools using advances in natural language processing work their way into
businesses and society, ...",Passed all validation checks,0.85,KEEP,
882,2.0,percentage,2024,productivity_metric,"ai's impact on labor productivity depends on its
capability and adoption timeline
effect of ai ado...",Duplicate record (keeping first occurrence),0.9,REMOVE,880.0
883,10.0,billions_usd,2024,revenue_metric,"they see multiple ways that such businesses can leverage generative ai for
innovation leads to new ...",Passed all validation checks,0.85,KEEP,
884,2.0,percentage,2024,labor_metric,"ai's impact on labor productivity depends on its
capability and adoption timeline
effect of ai ado...",Duplicate record (keeping first occurrence),0.9,REMOVE,880.0
885,7.0,percentage,2024,labor_metric,"ai's impact on labor productivity depends on its
capability and adoption timeline
effect of ai ado...",Duplicate record (keeping first occurrence),0.9,REMOVE,881.0
886,85.0,percentage,2024,labor_metric,"this implies that more than 85% of employment growth over the last 80 years is
explained by the tec...",Duplicate record (keeping first occurrence),0.9,REMOVE,866.0
887,2.0,percentage,2024,energy_metric,"ai's impact on labor productivity depends on its
capability and adoption timeline
effect of ai ado...",Duplicate record (keeping first occurrence),0.9,REMOVE,880.0
888,7.0,percentage,2024,energy_metric,"ai's impact on labor productivity depends on its
capability and adoption timeline
effect of ai ado...",Duplicate record (keeping first occurrence),0.9,REMOVE,881.0
5441,7.0,percentage,2023,general_rate,"ficial intelligence generative ai could raise global gdp by 7% apr 5, 2023 share share download tran...",Duplicate record (keeping first occurrence),0.9,REMOVE,864.0
5442,60.0,percentage,2024,general_rate,udy by economist david autor cited in the report found that 60% of today’s workers are employed in o...,Duplicate record (keeping first occurrence),0.9,REMOVE,865.0
5443,85.0,percentage,2024,general_rate,ions that didn’t exist in 1940. this implies that more than 85% of employment growth over the last 8...,Duplicate record (keeping first occurrence),0.9,REMOVE,866.0
5444,0.0,percentage,2024,general_rate,share of occupational workload exposed to automation by ai 0% 80% 70% 60% 50% 40% 30% 20% 10% 0% 80%...,Duplicate record (keeping first occurrence),0.9,REMOVE,867.0
5445,70.0,percentage,2024,general_rate,of occupational workload exposed to automation by ai 0% 80% 70% 60% 50% 40% 30% 20% 10% 0% 80% 60% 4...,Duplicate record (keeping first occurrence),0.9,REMOVE,868.0
5446,50.0,percentage,2024,general_rate,ational workload exposed to automation by ai 0% 80% 70% 60% 50% 40% 30% 20% 10% 0% 80% 60% 40% 20% s...,Duplicate record (keeping first occurrence),0.9,REMOVE,869.0
5447,40.0,percentage,2024,general_rate,nal workload exposed to automation by ai 0% 80% 70% 60% 50% 40% 30% 20% 10% 0% 80% 60% 40% 20% sourc...,Duplicate record (keeping first occurrence),0.9,REMOVE,870.0
5448,30.0,percentage,2024,general_rate,workload exposed to automation by ai 0% 80% 70% 60% 50% 40% 30% 20% 10% 0% 80% 60% 40% 20% source: g...,Duplicate record (keeping first occurrence),0.9,REMOVE,871.0
5449,20.0,percentage,2024,general_rate,load exposed to automation by ai 0% 80% 70% 60% 50% 40% 30% 20% 10% 0% 80% 60% 40% 20% source: goldm...,Duplicate record (keeping first occurrence),0.9,REMOVE,872.0
5450,10.0,percentage,2024,general_rate,exposed to automation by ai 0% 80% 70% 60% 50% 40% 30% 20% 10% 0% 80% 60% 40% 20% source: goldman sa...,Duplicate record (keeping first occurrence),0.9,REMOVE,873.0
5451,0.0,percentage,2024,general_rate,osed to automation by ai 0% 80% 70% 60% 50% 40% 30% 20% 10% 0% 80% 60% 40% 20% source: goldman sachs...,Duplicate record (keeping first occurrence),0.9,REMOVE,867.0
5452,7.0,billions_usd,2024,financial_metric,"to businesses and society, they could drive a 7% (or almost $7 trillion) increase in global gdp and ...",Duplicate record (keeping first occurrence),0.9,REMOVE,875.0
5453,150.0,billions_usd,2024,financial_metric,"e total addressable market for generative ai software to be $150 billion, compared with $685 billion...",Duplicate record (keeping first occurrence),0.9,REMOVE,876.0
5454,685.0,billions_usd,2024,financial_metric,"or generative ai software to be $150 billion, compared with $685 billion for the global software ind...",Duplicate record (keeping first occurrence),0.9,REMOVE,877.0
5455,2023.0,number,2023,unknown_metric,"elligence generative ai could raise global gdp by 7% apr 5, 2023 share share download transcript dow...",Duplicate record (keeping first occurrence),0.9,REMOVE,878.0
5456,7.0,percentage,2023,gdp_metric,"artificial intelligence
generative ai could raise global gdp by 7%
apr 5, 2023
share share
downl...",Duplicate record (keeping first occurrence),0.9,REMOVE,864.0
5457,2.0,percentage,2024,gdp_metric,"ai's impact on labor productivity depends on its
capability and adoption timeline
effect of ai ado...",Duplicate record (keeping first occurrence),0.9,REMOVE,880.0
5458,7.0,percentage,2024,productivity_metric,"as tools using advances in natural language processing work their way into
businesses and society, ...",Duplicate record (keeping first occurrence),0.9,REMOVE,881.0
5459,2.0,percentage,2024,productivity_metric,"ai's impact on labor productivity depends on its
capability and adoption timeline
effect of ai ado...",Duplicate record (keeping first occurrence),0.9,REMOVE,880.0
5460,10.0,billions_usd,2024,revenue_metric,"they see multiple ways that such businesses can leverage generative ai for
innovation leads to new ...",Duplicate record (keeping first occurrence),0.9,REMOVE,883.0
5461,2.0,percentage,2024,labor_metric,"ai's impact on labor productivity depends on its
capability and adoption timeline
effect of ai ado...",Duplicate record (keeping first occurrence),0.9,REMOVE,880.0
5462,7.0,percentage,2024,labor_metric,"ai's impact on labor productivity depends on its
capability and adoption timeline
effect of ai ado...",Duplicate record (keeping first occurrence),0.9,REMOVE,881.0
5463,85.0,percentage,2024,labor_metric,"this implies that more than 85% of employment growth over the last 80 years is
explained by the tec...",Duplicate record (keeping first occurrence),0.9,REMOVE,866.0
5464,2.0,percentage,2024,energy_metric,"ai's impact on labor productivity depends on its
capability and adoption timeline
effect of ai ado...",Duplicate record (keeping first occurrence),0.9,REMOVE,880.0
5465,7.0,percentage,2024,energy_metric,"ai's impact on labor productivity depends on its
capability and adoption timeline
effect of ai ado...",Duplicate record (keeping first occurrence),0.9,REMOVE,881.0
5466,7.0,percentage,2023,percentages,"ficial intelligence generative ai could raise global gdp by 7% apr 5, 2023 share share download tran...",Duplicate record (keeping first occurrence),0.9,REMOVE,864.0
5467,7.0,percentage,2025,growth_rate,"k their way into businesses and society, they could drive a 7% (or almost $7 trillion) increase in g...",Passed all validation checks,0.85,KEEP,
5468,7.0,percentage,2025,percentages,"e 6/20/25, 12:45 pm generative ai could raise global gdp by 7% | goldman sachs https://w w w.goldman...",Duplicate record (keeping first occurrence),0.9,REMOVE,5467.0
