original_id,value,unit,year,metric_type,context_preview,reason,kept_record_id,confidence
22,12.0,percentage,2024,growth_metric,signed to mimic the day-to-day work at a consulting company increased by 12%–25%. evidence from thes...,Duplicate record (keeping first occurrence),5.0,0.9
23,2025.0,number,2025,unknown_metric,"sonia jaffe, leon musolff, sida peng, and tobias salz june 2025 abstract this study evaluates the ef...",Citation year extracted as metric value,,0.95
25,24.0,billions_usd,2024,adoption_metric,"9
1
cumulative rate
oct 23
nov 23
dec 23
jan 24
feb 24
mar 24
date
invite
adopt
(c) anon...",Invalid unit 'billions_usd' for adoption_metric,,0.95
29,7.0,percentage,2024,profit_metric,"still, there is no difference in usage conditional on adoption
between junior and senior developers...",Duplicate record (keeping first occurrence),20.0,0.9
31,26.08,percentage,2024,impact_metrics,"oisy, when data is combined across three experiments and 4,867 de- velopers, our analysis reveals a ...",Duplicate record (keeping first occurrence),0.0,0.9
1145,26.08,percentage,2024,general_rate,"experiments and 4,867 de- velopers, our analysis reveals a 26.08% increase (se: 10.3%) in completed ...",Duplicate record (keeping first occurrence),0.0,0.9
1146,10.3,percentage,2024,general_rate,"7 de- velopers, our analysis reveals a 26.08% increase (se: 10.3%) in completed tasks among develope...",Duplicate record (keeping first occurrence),1.0,0.9
1147,80.0,percentage,2024,general_rate,"that generative ai can per- form tasks associated with over 80% of u.s. jobs, with particularly high...",Duplicate record (keeping first occurrence),2.0,0.9
1148,13.55,percentage,2024,general_rate,"y interest, our results support this interpretation, with a 13.55% (se: 10.0%) increase in the numbe...",Duplicate record (keeping first occurrence),3.0,0.9
1149,38.38,percentage,2024,general_rate,.0%) increase in the number of code updates (commits) and a 38.38% (se: 12.55%) increase in the numb...,Duplicate record (keeping first occurrence),4.0,0.9
1150,12.0,percentage,2024,general_rate,ic the day-to-day work at a consulting company increased by 12%–25%. evidence from these experiments...,Duplicate record (keeping first occurrence),5.0,0.9
1151,50.4,percentage,2024,general_rate,"rimarily located in the united states. of these developers, 50.4% were randomly selected to receive ...",Duplicate record (keeping first occurrence),6.0,0.9
1152,61.3,percentage,2024,general_rate,"t asia. randomization occurred at the developer level, with 61.3% of the 320 developers assigned to ...",Duplicate record (keeping first occurrence),7.0,0.9
1153,5.0,percentage,2024,general_rate,"ignment; anonymous company: team-level assignment.) *10%, **5%, ***1% 0 10 20 30 40 percent(%) 0 2 4...",Duplicate record (keeping first occurrence),8.0,0.9
1154,1.0,percentage,2024,general_rate,"; anonymous company: team-level assignment.) *10%, **5%, ***1% 0 10 20 30 40 percent(%) 0 2 4 6 (a) ...",Duplicate record (keeping first occurrence),9.0,0.9
1155,34.01,percentage,2024,general_rate,.90% > 0) 0 10 20 30 40 percent(%) 0 1 2 3 4 (c) anonymous (34.01% > 0) figure 1: distribution of pu...,Duplicate record (keeping first occurrence),10.0,0.9
1156,8.5,percentage,2024,general_rate,"uring the first two weeks of the microsoft experiment, only 8.5 % of the treated group signed up for...",Duplicate record (keeping first occurrence),11.0,0.9
1157,42.5,percentage,2023,general_rate,2023. these additional emails increased the take-up rate to 42.5% within two weeks. as discussed bef...,Duplicate record (keeping first occurrence),12.0,0.9
1158,0.5,percentage,2024,general_rate,p was not perfect because a few control group de- velopers (0.5%) required access to copilot to work...,Duplicate record (keeping first occurrence),13.0,0.9
1159,69.4,percentage,2024,general_rate,"group. by april 2024, the treated group’s adoption rate was 69.4%, while the control group’s adoptio...",Duplicate record (keeping first occurrence),14.0,0.9
1160,100.0,percentage,2024,general_rate,"nts. despite this, the adoption rate is significantly below 100% in all three experiments, with arou...",Duplicate record (keeping first occurrence),15.0,0.9
1161,21.34,percentage,2024,general_rate,"the number of pull requests made by developers increases by 21.34% (se: 9.92%), the number of commit...",Duplicate record (keeping first occurrence),16.0,0.9
1162,15.39,percentage,2024,general_rate,"s by 21.34% (se: 9.92%), the number of commits increases by 15.39% (se: 9.69%), and the number of bu...",Duplicate record (keeping first occurrence),17.0,0.9
1163,4.3,percentage,2024,general_rate,e 5 reveals that higher-tenure developers are approximately 4.3% (or 1.0pp) less likely to accept co...,Duplicate record (keeping first occurrence),18.0,0.9
1164,1.8,percentage,2024,general_rate,"ers, this difference in acceptance rates is much smaller at 1.8% (or 0.5pp), though it goes in the s...",Duplicate record (keeping first occurrence),19.0,0.9
1165,7.0,percentage,2024,general_rate,to 40% while senior developers have more marginal gains of 7% to 16%. the estimates for above- and b...,Duplicate record (keeping first occurrence),20.0,0.9
