original_id,value,unit,year,metric_type,context_preview,reason,confidence,proposed_action
0,20.0,percentage,2024,general_rate,"service portfolio and accelerating innovation, compared to 20% in the earliest stage. leaders tend t...",Reclassify based on context: readiness_metric,0.8,MODIFY
1,34.0,percentage,2024,general_rate,eated the question once they’d completed the survey. while 34% initially placed their organizations ...,General rate - needs manual review,0.5,KEEP
2,28.0,percentage,2024,general_rate,"anizations at the highest two stages of ai readiness, only 28% still did so after answering all ques...",Reclassify based on context: readiness_metric,0.8,MODIFY
3,25.0,percentage,2024,general_rate,.3 the model yielded an even more conservative view: only 25% fell into the highest two stages of ai...,Reclassify based on context: readiness_metric,0.8,MODIFY
4,3.0,percentage,2024,general_rate,"they are seeing value at each stage of ai readiness, from 3% at the earliest “exploring” stage to 96...",Reclassify based on context: readiness_metric,0.8,MODIFY
5,96.0,percentage,2024,general_rate,"i readiness, from 3% at the earliest “exploring” stage to 96% at the most advanced “realizing” stage...",Reclassify based on context: readiness_metric,0.8,MODIFY
6,12.0,percentage,2024,general_rate,realizing value at each stage of ai readiness 3% exploring 12% planning 23% implementing 61% scaling...,Reclassify based on context: readiness_metric,0.8,MODIFY
7,61.0,percentage,2024,general_rate,of ai readiness 3% exploring 12% planning 23% implementing 61% scaling 96% realizing figure 4: focus...,Reclassify based on context: readiness_metric,0.8,MODIFY
8,80.0,percentage,2024,general_rate,e value from ai efficiency and cost focus growth focus 100% 80% 60% 40% 20% 0% exploring implementin...,Reclassify based on context: strategy_metric,0.8,MODIFY
9,40.0,percentage,2024,general_rate,from ai efficiency and cost focus growth focus 100% 80% 60% 40% 20% 0% exploring implementing planni...,Reclassify based on context: strategy_metric,0.8,MODIFY
10,0.0,percentage,2024,general_rate,efficiency and cost focus growth focus 100% 80% 60% 40% 20% 0% exploring implementing planning reali...,Zero percentage likely extraction artifact,0.75,REMOVE
11,1.0,percentage,2024,general_rate,"commitment to, ai as critical to the business, compared to 1% at the “exploring” stage (see figure 8...",Reclassify based on context: readiness_metric,0.8,MODIFY
12,0.0,percentage,2024,general_rate,municates vision and commitment to ai 100% 80% 60% 40% 20% 0% 1% exploring 5% planning 21% implement...,Zero percentage likely extraction artifact,0.75,REMOVE
13,5.0,percentage,2024,general_rate,n and commitment to ai 100% 80% 60% 40% 20% 0% 1% exploring 5% planning 21% implementing 81% scaling...,Reclassify based on context: strategy_metric,0.8,MODIFY
14,6.0,percentage,2024,general_rate,"zing” stage have appointed a chief ai officer, compared to 6% in the “exploring stage”. finally, a c...",Reclassify based on context: readiness_metric,0.8,MODIFY
15,18.0,percentage,2024,general_rate,cer 64% in the “realizing” stage 36% in the “scaling” stage 18% in the “implementing” stage 9% in th...,Reclassify based on context: readiness_metric,0.8,MODIFY
16,9.0,percentage,2024,general_rate,36% in the “scaling” stage 18% in the “implementing” stage 9% in the “planning” stage 6% in the “exp...,Reclassify based on context: readiness_metric,0.8,MODIFY
17,49.0,percentage,2024,general_rate,reported the lowest ai readiness scores in ai governance (49% in the “exploring” and “planning” stag...,Reclassify based on context: readiness_metric,0.8,MODIFY
18,16.0,percentage,2024,general_rate,experimenting with it in select areas of the organization. 16% are at this stage 20+ yrs. average ag...,Reclassify based on context: readiness_metric,0.8,MODIFY
19,7.0,percentage,2024,general_rate,"ics departments where 61% are deploying ai. however, only 7% of organizations in the financial servi...",Reclassify based on context: adoption_metric,0.8,MODIFY
20,8.0,percentage,2024,general_rate,"er. the sector also outperforms the industry average, with 8% reporting consistently high roi from a...",Reclassify based on context: cost_metric,0.8,MODIFY
21,10.0,percentage,2024,general_rate,g functions driving adoption. 21% have a chief ai officer 10% see consistently high roi from ai ai s...,Reclassify based on context: cost_metric,0.8,MODIFY
22,70.0,percentage,2024,general_rate,ustomer experience. among financial services organizations: 70% are currently using big data analyti...,Reclassify based on context: adoption_metric,0.8,MODIFY
23,2.0,percentage,2024,general_rate,28% high 39% low organization and culture 21% 18% 29% 34% 2% 19% high 47% low ai governance 17% 15% ...,General rate - needs manual review,0.5,KEEP
24,14.0,percentage,2024,general_rate,"ll industries in the “scaling” and “realizing” stage. yet, 14% of healthcare organizations claim the...",Reclassify based on context: readiness_metric,0.8,MODIFY
25,2.48,billions_usd,2024,financial_metric,% see consistently high roi from ai ai spend/month (mean) $2.48m cloud first 18% 61% data and analyt...,Duplicate record (same value/unit/year/similar context),0.85,REMOVE
26,2.22,billions_usd,2024,financial_metric,% see consistently high roi from ai ai spend/month (mean) $2.22m cloud first 20% 53% it functional d...,Duplicate record (same value/unit/year/similar context),0.85,REMOVE
27,1.99,billions_usd,2024,financial_metric,% see consistently high roi from ai ai spend/month (mean) $1.99m cloud first 17% 53% it functional d...,Duplicate record (same value/unit/year/similar context),0.85,REMOVE
