original_id,value,unit,year,metric_type,context_preview,reason,kept_record_id,confidence
45,0.0,percentage,2024,general_rate,municates vision and commitment to ai 100% 80% 60% 40% 20% 0% 1% exploring 5% planning 21% implement...,Duplicate record (keeping first occurrence),43,0.9
67,3.0,percentage,2024,cost_metric,"figure 3: percentage of organizations that report realizing value at 
each stage of ai readiness
3...",Duplicate record (keeping first occurrence),37,0.9
68,12.0,percentage,2024,cost_metric,"figure 3: percentage of organizations that report realizing value at 
each stage of ai readiness
3...",Duplicate record (keeping first occurrence),39,0.9
70,61.0,percentage,2024,cost_metric,"figure 3: percentage of organizations that report realizing value at 
each stage of ai readiness
3...",Duplicate record (keeping first occurrence),40,0.9
71,96.0,percentage,2024,cost_metric,"figure 3: percentage of organizations that report realizing value at 
each stage of ai readiness
3...",Duplicate record (keeping first occurrence),38,0.9
72,80.0,percentage,2024,cost_metric,"figure 3: percentage of organizations that report realizing value at 
each stage of ai readiness
3...",Duplicate record (keeping first occurrence),41,0.9
73,40.0,percentage,2024,cost_metric,"figure 3: percentage of organizations that report realizing value at 
each stage of ai readiness
3...",Duplicate record (keeping first occurrence),42,0.9
74,20.0,percentage,2024,cost_metric,"figure 3: percentage of organizations that report realizing value at 
each stage of ai readiness
3...",Duplicate record (keeping first occurrence),33,0.9
75,0.0,percentage,2024,cost_metric,"figure 3: percentage of organizations that report realizing value at 
each stage of ai readiness
3...",Duplicate record (keeping first occurrence),43,0.9
78,10.0,percentage,2024,training_metric,"among retail organizations:
10%
report consistently high 
return on investment from ai 
implemen...",Duplicate record (keeping first occurrence),54,0.9
79,7.0,percentage,2024,training_metric,"among retail organizations:
10%
report consistently high 
return on investment from ai 
implemen...",Duplicate record (keeping first occurrence),52,0.9
81,30.0,percentage,2024,training_metric,"among retail organizations:
10%
report consistently high 
return on investment from ai 
implemen...",Duplicate record (keeping first occurrence),66,0.9
1279,20.0,percentage,2024,general_rate,"service portfolio and accelerating innovation, compared to 20% in the earliest stage. leaders tend t...",Duplicate record (keeping first occurrence),33,0.9
1280,34.0,percentage,2024,general_rate,eated the question once they’d completed the survey. while 34% initially placed their organizations ...,Duplicate record (keeping first occurrence),34,0.9
1281,28.0,percentage,2024,general_rate,"anizations at the highest two stages of ai readiness, only 28% still did so after answering all ques...",Duplicate record (keeping first occurrence),35,0.9
1282,25.0,percentage,2024,general_rate,.3 the model yielded an even more conservative view: only 25% fell into the highest two stages of ai...,Duplicate record (keeping first occurrence),36,0.9
1283,3.0,percentage,2024,general_rate,"they are seeing value at each stage of ai readiness, from 3% at the earliest “exploring” stage to 96...",Duplicate record (keeping first occurrence),37,0.9
1284,96.0,percentage,2024,general_rate,"i readiness, from 3% at the earliest “exploring” stage to 96% at the most advanced “realizing” stage...",Duplicate record (keeping first occurrence),38,0.9
1285,12.0,percentage,2024,general_rate,realizing value at each stage of ai readiness 3% exploring 12% planning 23% implementing 61% scaling...,Duplicate record (keeping first occurrence),39,0.9
1286,61.0,percentage,2024,general_rate,of ai readiness 3% exploring 12% planning 23% implementing 61% scaling 96% realizing figure 4: focus...,Duplicate record (keeping first occurrence),40,0.9
1287,80.0,percentage,2024,general_rate,e value from ai efficiency and cost focus growth focus 100% 80% 60% 40% 20% 0% exploring implementin...,Duplicate record (keeping first occurrence),41,0.9
1288,40.0,percentage,2024,general_rate,from ai efficiency and cost focus growth focus 100% 80% 60% 40% 20% 0% exploring implementing planni...,Duplicate record (keeping first occurrence),42,0.9
1289,0.0,percentage,2024,general_rate,efficiency and cost focus growth focus 100% 80% 60% 40% 20% 0% exploring implementing planning reali...,Duplicate record (keeping first occurrence),43,0.9
1290,1.0,percentage,2024,general_rate,"commitment to, ai as critical to the business, compared to 1% at the “exploring” stage (see figure 8...",Duplicate record (keeping first occurrence),44,0.9
1291,0.0,percentage,2024,general_rate,municates vision and commitment to ai 100% 80% 60% 40% 20% 0% 1% exploring 5% planning 21% implement...,Duplicate record (keeping first occurrence),43,0.9
1292,5.0,percentage,2024,general_rate,n and commitment to ai 100% 80% 60% 40% 20% 0% 1% exploring 5% planning 21% implementing 81% scaling...,Duplicate record (keeping first occurrence),46,0.9
1293,6.0,percentage,2024,general_rate,"zing” stage have appointed a chief ai officer, compared to 6% in the “exploring stage”. finally, a c...",Duplicate record (keeping first occurrence),47,0.9
1294,18.0,percentage,2024,general_rate,cer 64% in the “realizing” stage 36% in the “scaling” stage 18% in the “implementing” stage 9% in th...,Duplicate record (keeping first occurrence),48,0.9
1295,9.0,percentage,2024,general_rate,36% in the “scaling” stage 18% in the “implementing” stage 9% in the “planning” stage 6% in the “exp...,Duplicate record (keeping first occurrence),49,0.9
1296,49.0,percentage,2024,general_rate,reported the lowest ai readiness scores in ai governance (49% in the “exploring” and “planning” stag...,Duplicate record (keeping first occurrence),50,0.9
1297,16.0,percentage,2024,general_rate,experimenting with it in select areas of the organization. 16% are at this stage 20+ yrs. average ag...,Duplicate record (keeping first occurrence),51,0.9
1298,7.0,percentage,2024,general_rate,"ics departments where 61% are deploying ai. however, only 7% of organizations in the financial servi...",Duplicate record (keeping first occurrence),52,0.9
1299,8.0,percentage,2024,general_rate,"er. the sector also outperforms the industry average, with 8% reporting consistently high roi from a...",Duplicate record (keeping first occurrence),53,0.9
1300,10.0,percentage,2024,general_rate,g functions driving adoption. 21% have a chief ai officer 10% see consistently high roi from ai ai s...,Duplicate record (keeping first occurrence),54,0.9
1301,70.0,percentage,2024,general_rate,ustomer experience. among financial services organizations: 70% are currently using big data analyti...,Duplicate record (keeping first occurrence),55,0.9
1302,2.0,percentage,2024,general_rate,28% high 39% low organization and culture 21% 18% 29% 34% 2% 19% high 47% low ai governance 17% 15% ...,Duplicate record (keeping first occurrence),56,0.9
1303,14.0,percentage,2024,general_rate,"ll industries in the “scaling” and “realizing” stage. yet, 14% of healthcare organizations claim the...",Duplicate record (keeping first occurrence),57,0.9
1304,2.48,billions_usd,2024,financial_metric,% see consistently high roi from ai ai spend/month (mean) $2.48m cloud first 18% 61% data and analyt...,Duplicate record (keeping first occurrence),58,0.9
1305,2.22,billions_usd,2024,financial_metric,% see consistently high roi from ai ai spend/month (mean) $2.22m cloud first 20% 53% it functional d...,Duplicate record (keeping first occurrence),59,0.9
1306,1.99,billions_usd,2024,financial_metric,% see consistently high roi from ai ai spend/month (mean) $1.99m cloud first 17% 53% it functional d...,Duplicate record (keeping first occurrence),60,0.9
