original_id,value,unit,year,current_metric_type,new_metric_type,context_preview,sector,country,company_size,reason,confidence
94,10.0,percentage,2024,general_rate,financial_metric,ificant time savings and half report a revenue increase of 10% or more. with many companies still at...,,,,Reclassify based on context: financial_metric,0.8
95,70.0,percentage,2024,general_rate,ai_metric,inesses today are using gai for innovation and creativity (70%) than to automate repetitive tasks (6...,,,,Reclassify based on context: ai_metric,0.8
98,90.0,percentage,2024,general_rate,market_metric,eing outpaced by large companies. smbs represent more than 90% of businesses and 50% of workers worl...,,,,Reclassify based on context: market_metric,0.8
99,15.0,percentage,2023,general_rate,capacity_metric,"ocking $4.1 trillion in productive capacity, equivalent to 15% of the country’s gdp in 2023. the us ...",,,,Reclassify based on context: capacity_metric,0.8
101,41.0,percentage,2024,general_rate,capacity_metric,"oduct design, and market research. in india, nearly half (41%) of total productive capacity gains fr...",,,,Reclassify based on context: capacity_metric,0.8
102,35.0,percentage,2024,general_rate,performance_metric,"in the manufacturing sector, with germany close behind at 35%. greater innovation and productivity i...",manufacturing,,,Reclassify based on context: performance_metric,0.8
110,8.0,percentage,2024,general_rate,adoption_metric,% 20% 9% 4% 14% 7% 5% 41% 19% 9% 7% 12% 15% 17% 16% 20% 12% 8% 13% 16% 14% 22% 6 50% 56% 73% early a...,,,,Reclassify based on context: adoption_metric,0.8
111,46.0,percentage,2024,general_rate,workplace_metric,"ts say they struggle with the pace and volume of work, and 46% feel burned out. using ai tools can h...",,,,Reclassify based on context: workplace_metric,0.8
112,25.0,percentage,2024,general_rate,strategy_metric,r organization-wide adoption compared to large businesses (25% vs. 20% of large businesses). strateg...,,,,Reclassify based on context: strategy_metric,0.8
115,1.0,percentage,2024,general_rate,employment_metric,the pool of ai engineering talent is very small – less than 1% of the workforce globally – and many ...,,,,Reclassify based on context: employment_metric,0.8
116,177.0,percentage,2024,general_rate,training_metric,ai literacy skills added by linkedin members increased by 177%. the most frequently added ai literac...,,,,Reclassify based on context: training_metric,0.8
132,2025.0,number,2025,unknown_metric,growth_metric,obal economy: unlocking growth and reshaping work april 2025 executive summary generative ai (gai) i...,,,,Reclassify based on context: growth_metric,0.8
